x,y,humid,humid90,temp,temp90,h10pix,h10pix90,trees,trees90,NoYes,Xmin,Xmax,Ymin,Ymax
-16.071270694051815,31.930540408150872,23.4822496414185,23.6777519226074,24.0958003997803,24.2566703796387,26.3977746963501,27.499439239502,45,52.1,0,15,17,5,3.5
52.46581807168987,-43.97105521642738,9.76094245910645,10.3649406433105,9.9916696548462,12.3983339309692,14.5022201538086,15.3331077575684,40,70.4,0,32,33,41,41
31.99827954268343,3.52938080860216,14.3611097335815,14.3611097335815,21.4249992370605,21.4249992370605,17.5083293914795,17.5083293914795,0,0,0,31.5,31.5,29,29
-2.992516789285795,-25.874101496232036,13.2841129302979,13.3198909759521,17.6083498001099,17.6750299453735,15.0141696929932,15.0141696929932,2.5,2.9,0,2,2.5,36,36
111.50919131387649,29.862884550769472,16.5896640777588,18.6676685333252,15.9125003814697,20.8458202362061,25.4437494277954,25.7263046264648,53,68.7,0,85,86,28,27.5
115.72562548093128,41.11941642624559,22.4601696014404,22.9511653900147,21.7332992553711,23.2532997131348,27.0908298492432,27.1122207641602,48,70.6,1,90.5,93,25.5,25
135.3344221250656,58.83789913086325,21.7202211380005,23.6048303604126,21.0041999816895,22.720810508728,25.1511096954346,25.1511096954346,31,62,1,110,117,25,20
141.38205966534295,-10.420784492476397,4.00222201347351,4.6851948261261,-3.83749997615814,-0.466666993498802,7.15277814865112,7.1752781867981,1.5,5,0,98.5,103.5,48.5,47
38.209589869999554,-51.00811176495038,9.1938892364502,9.22000045776367,7.90832996368408,8.0616662979126,10.6311101913452,10.700221824646,10,62,0,21.5,22.5,50.5,50.5
97.87286755718122,33.22032752578856,14.8601345062256,17.8193042755127,17.1541500091553,22.25,23.56569480896,23.6894504547119,42,45.1,0,82.5,83,28.5,27.5
4.637726412404459,-24.27407084418424,8.85805606842041,8.85805606842041,14.2749996185303,14.2749996185303,15.5422201156616,15.5422201156616,1,1,0,7,7,36,36
-6.77924750573276,75.65804401787905,18.1190008163452,18.1646669387817,21.5708494186401,21.6875295639038,23.0437498092651,23.1576375961304,37.5,49.1,0,32,32,-26.5,-27
-44.03608033475528,-7.202473275784109,23.0918325424194,23.2311647415161,26.5249996185303,26.6249996185303,27.6922206878662,27.6922206878662,18,31.6,0,-15.5,-15,12,12
